epoch,loss,accuracy,val_loss,val_accuracy,actual_failed,predicted_failed
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,1,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
0,0.5394,0.7713,0.5402,0.7695,0,0
